File,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,label
278855391,40,12,11,0,0,87,28,24,32,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,36,98,98,12,20,24,8,8,9,0,8,4,0,male
302258234,10,10,9,0,0,32,12,9,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,39,112,78,25,12,24,8,4,8,3,7,3,0,male
393642659,19,6,2,0,0,37,8,5,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,36,93,107,9,16,16,7,9,10,2,35,4,0,female
24472132,25,8,5,0,0,41,11,13,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,35,82,66,15,17,19,5,10,2,4,18,5,0,female
55482997,54,6,13,0,0,65,17,15,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,34,126,89,10,18,33,8,5,14,8,16,2,0,female
336950490,50,11,1,0,0,60,24,15,38,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,33,115,139,19,30,15,3,12,8,8,6,8,0,female
25897435,27,12,13,0,0,98,27,19,44,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,30,112,146,23,59,33,24,10,15,1,4,1,0,female
82341423,46,7,6,0,0,55,26,5,26,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,25,79,74,16,20,11,3,6,10,3,4,0,0,female
240492997,43,10,3,0,0,63,30,14,24,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,30,141,123,36,23,21,7,5,9,4,10,3,0,female
343104919,31,11,9,0,0,42,22,4,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,36,92,89,26,18,22,7,11,8,0,19,4,0,female
156393615,21,6,7,0,0,38,12,8,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,29,82,58,13,13,27,4,7,3,0,4,2,0,male
222824120,26,10,15,0,0,58,33,7,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,21,65,56,25,14,7,8,3,2,2,17,0,0,female
356418350,28,3,16,0,0,47,17,6,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,27,76,113,20,28,23,4,3,4,3,16,2,1,male
253766808,40,12,12,0,0,64,23,10,29,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,31,79,102,19,19,17,6,9,13,4,9,4,0,male
404439154,28,9,6,0,0,36,8,8,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,23,87,70,9,17,12,3,5,2,1,11,1,0,male
20214831,26,14,17,0,0,46,17,12,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,37,117,126,19,30,31,5,6,5,5,5,2,0,female
241666095,78,20,13,0,0,83,56,8,46,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,37,142,105,40,22,16,3,1,11,8,12,0,0,female
338167123,34,7,8,0,0,55,17,15,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,36,118,108,14,23,15,9,6,2,0,10,1,0,female
251717831,29,10,6,0,0,37,15,6,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,15,58,60,7,18,17,8,4,4,1,16,2,0,female
381572221,24,15,11,0,0,28,13,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,69,151,86,57,38,15,5,14,5,6,8,1,1,male
